"txname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"GENEID"
"ENST00000532634.5"	"13.0453312615963"	"-24.6699968579278"	"1.94727496388348"	"-12.6689847687088"	"8.7843916666489e-37"	"1.03470471002291e-31"	"ENSG00000137216.19"
"ENST00000399035.7"	"19.4426291548004"	"-25.193672657808"	"2.14638266403756"	"-11.7377358100797"	"8.16429757131444e-32"	"4.80832223313778e-27"	"ENSG00000122545.20"
"ENST00000475336.5"	"14.2404637819159"	"-24.7629480776316"	"2.27397658513854"	"-10.8897111076115"	"1.29048979091986e-27"	"4.86010504157713e-23"	"ENSG00000154310.17"
"ENST00000649006.1"	"13.4044025287136"	"-24.7045958402864"	"2.27330032796949"	"-10.8672820464301"	"1.6504444529038e-27"	"4.86010504157713e-23"	"ENSG00000156650.14"
"ENST00000397203.6"	"56.9199745547561"	"-26.592125951279"	"2.46239087806629"	"-10.7993114286395"	"3.46794467766508e-27"	"8.16971471274984e-23"	"ENSG00000082805.20"
"ENST00000358077.9"	"15.807072283431"	"-24.5252140276958"	"2.29637445793771"	"-10.6799716147866"	"1.26310275229515e-26"	"2.47966016816822e-22"	"ENSG00000196730.13"
"ENST00000553878.5"	"11.7886550164176"	"-23.2563907874519"	"2.2478435300091"	"-10.3460896975145"	"4.35928435607574e-25"	"7.33536778596864e-21"	"ENSG00000166165.13"
"ENST00000450902.6"	"12.8474387958832"	"-24.6442174165195"	"2.46503388705545"	"-9.99751668564593"	"1.56266524602232e-23"	"1.82098964739867e-19"	"ENSG00000227222.7"
"ENST00000456458.5"	"17.43808425315"	"-25.0652710491699"	"2.50925313749629"	"-9.98913607982165"	"1.70057357829554e-23"	"1.82098964739867e-19"	"ENSG00000122643.23"
"ENST00000532942.5"	"10.1184214220911"	"-24.3193560520653"	"2.42756842090752"	"-10.0179899534917"	"1.27060688530497e-23"	"1.82098964739867e-19"	"ENSG00000285283.1"
"ENST00000555238.5"	"11.6333220913297"	"-24.4933630304894"	"2.44957873257958"	"-9.99901032154052"	"1.53927657438176e-23"	"1.82098964739867e-19"	NA
"ENST00000649031.1"	"58.035778329581"	"25.2263881724789"	"2.68723144764385"	"9.3875011006578"	"6.14405982747586e-21"	"6.03085552515461e-17"	"ENSG00000106031.9"
"ENST00000350481.9"	"26.4416955283537"	"-25.6338394301357"	"2.8435463396396"	"-9.0147429893422"	"1.97332620386406e-19"	"1.78797015559188e-15"	"ENSG00000114867.22"
"ENST00000532063.5"	"7.69365816204878"	"24.0048856360339"	"2.7502592935606"	"8.72822635023482"	"2.58697506667224e-18"	"2.17655147234469e-14"	"ENSG00000166333.14"
"ENST00000449758.6"	"13.0481399790845"	"-24.6654499555434"	"2.94218536771503"	"-8.38337727670067"	"5.14302955453529e-17"	"4.03861538799438e-13"	"ENSG00000134291.12"
"ENST00000262173.7"	"9.02516935626835"	"-24.1662187212435"	"2.94230855136873"	"-8.2133529843434"	"2.15096038480544e-16"	"1.58349670478655e-12"	"ENSG00000101654.18"
"ENST00000419482.7"	"5.36299101553191"	"4.72351899428353"	"0.98166267409117"	"4.81175368988802"	"1.49611668864583e-06"	"0.0102206739002314"	"ENSG00000115593.15"
"ENST00000612848.1"	"13.1755665448396"	"-4.58835666943737"	"0.955280502471378"	"-4.80315117660934"	"1.56187870008375e-06"	"0.0102206739002314"	"ENSG00000276345.1"
"ENST00000478463.6"	"22.9930049343325"	"-0.628403718450711"	"0.131142810880019"	"-4.79175117746738"	"1.65331867982234e-06"	"0.0102496186303996"	"ENSG00000142687.18"
"ENST00000586518.1"	"194.472987429357"	"-0.571807139528977"	"0.120371813741568"	"-4.75034081281369"	"2.03074101756857e-06"	"0.0119599476859192"	"ENSG00000132475.10"
"ENST00000303004.4"	"245.235316933195"	"-0.37575834337481"	"0.0796489660196877"	"-4.71768011755394"	"2.38549177362667e-06"	"0.013380223358272"	NA
"ENST00000644199.1"	"855.914384055307"	"0.194569143528103"	"0.0417064089509531"	"4.66520969851222"	"3.08302469821195e-06"	"0.016506654371713"	"ENSG00000114861.23"
"ENST00000597648.5"	"59.6262664045813"	"-0.52238723267123"	"0.112577978190653"	"-4.64022574456397"	"3.48028781415047e-06"	"0.0178234617974335"	"ENSG00000105640.13"
"ENST00000460908.1"	"139.015444674871"	"0.269779989029903"	"0.0587939858424876"	"4.58856437719087"	"4.46304676317894e-06"	"0.0218417085802941"	NA
"ENST00000543465.5"	"271.091120366451"	"-0.34049482948506"	"0.0743336217395892"	"-4.58063015788341"	"4.63577001678724e-06"	"0.0218417085802941"	"ENSG00000215021.10"
"ENST00000338370.7"	"82.2612686867499"	"-0.492251415278584"	"0.10852975679103"	"-4.53563547761742"	"5.74302982887583e-06"	"0.0260179130966713"	"ENSG00000175756.13"
"ENST00000325404.3"	"8.95408690101294"	"1.3939977543962"	"0.311196172152333"	"4.47948233024482"	"7.4824283589078e-06"	"0.0318173436746436"	"ENSG00000181449.4"
"ENST00000336292.10"	"1467.01145448221"	"1.33153575318895"	"0.297404735819705"	"4.47718409567009"	"7.56340254938933e-06"	"0.0318173436746436"	NA
"ENST00000392530.2"	"5.15486908560005"	"1.30228548103283"	"0.2935786960992"	"4.43589912461765"	"9.16887791831053e-06"	"0.0369230222187109"	"ENSG00000213144.2"
"ENST00000419783.3"	"2224.46573191139"	"-0.228527624584071"	"0.0516438814633743"	"-4.42506678639448"	"9.64124510192345e-06"	"0.0369230222187109"	"ENSG00000233276.8"
